6.5978219752468e-07	1.85798636205682e-07	1.99403797590216e-07	5.28178550284947e-07	3.34590372432499e-07	1.07837466500924e-07	1.62459402545922e-08	1.65005459430554e-08	2.93678415547231e-09	2.93678415547231e-09
1.01582704294074e-07	4.39569038655363e-07	1.11477085240898e-07	1.74925646467576e-07	4.57703838583273e-07	3.7391741303512e-07	1.01164085748988e-07	1.91196359117607e-07	7.87366042723094e-08	7.87366042723094e-08
2.77317370500617e-08	1.42001130034342e-07	3.78467832429924e-07	1.54991157480463e-07	2.02074111823117e-07	2.43729317014699e-07	1.19389797524394e-07	4.33567784145636e-08	6.6920082287302e-08	6.6920082287302e-08
1.50198751332098e-07	4.30057058164764e-08	1.52166309624584e-07	2.61247884829168e-07	1.07699882374956e-07	1.12106687276804e-07	7.27174008754608e-08	2.60226388233051e-08	5.70979034311303e-08	5.70979034311303e-08
5.4308468560071e-08	2.36144804559228e-07	8.371779935049e-08	1.04903932895984e-07	1.88933614160802e-07	1.15951126683254e-07	5.62316522166724e-08	8.10373798915322e-08	9.16249927406173e-08	9.16249927406173e-08
1.06736991395983e-08	1.16429133118393e-07	2.7472728571203e-07	1.03023562303825e-07	1.6123394275889e-07	2.25742914883624e-07	1.95021982761334e-07	1.85124252293667e-07	4.83114660845099e-07	4.83114660845099e-07
5.52015767706045e-08	1.643955524644e-08	9.00918974185027e-08	9.72232496272721e-08	7.59917007686285e-08	1.36518492320385e-07	3.16063022130777e-07	9.62156813358067e-08	5.51988488988168e-08	5.51988488988168e-08
7.65250161166954e-09	5.10135844014001e-08	5.64152463444544e-08	4.40058329746246e-08	9.2060589703349e-08	4.27703037568951e-08	1.02071167603304e-07	4.86476611747184e-07	5.15170360965983e-08	5.15170360965983e-08
0	0	0	0	4.15409637104787e-07	0	0	0	0	0
2.93678415547231e-09	7.87366042723094e-08	6.6920082287302e-08	5.70979034311303e-08	9.16249927406173e-08	4.83114660845099e-07	5.51988488988168e-08	5.15170360965983e-08	0	0
