"date","adeno_A_0_9","adeno_A_10_19","adeno_A_20_29","adeno_A_30_39","adeno_A_40_49","adeno_A_50_59","adeno_A_60_69","adeno_A_70_79","adeno_A_80_89","adeno_A_90_99","adeno_B_0_9","adeno_B_10_19","adeno_B_20_29","adeno_B_30_39","adeno_B_40_49","adeno_B_50_59","adeno_B_60_69","adeno_B_70_79","adeno_B_80_89","adeno_B_90_99","rna_A_0_9","rna_A_10_19","rna_A_20_29","rna_A_30_39","rna_A_40_49","rna_A_50_59","rna_A_60_69","rna_A_70_79","rna_A_80_89","rna_A_90_99","rna_B_0_9","rna_B_10_19","rna_B_20_29","rna_B_30_39","rna_B_40_49","rna_B_50_59","rna_B_60_69","rna_B_70_79","rna_B_80_89","rna_B_90_99"
2021-01-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,14.480648467067,24.6127131146076,32.783123489672,38.4342233980285,45.9351624568195,78.071980381131,156.516483873421,46.915664819253,0,0,0,0.175848741651587,0.0741512583484133,0,0,0,0,0
2021-01-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,14.480648467067,24.6127131146076,32.783123489672,38.4342233980285,45.9351624568195,78.071980381131,156.516483873421,46.915664819253,0,0,0,0.175848741651587,0.0741512583484133,0,0,0,0,0
2021-01-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,14.480648467067,24.6127131146076,32.783123489672,38.4342233980285,45.9351624568195,78.071980381131,156.516483873421,46.915664819253,0,0,0,0.175848741651587,0.0741512583484133,0,0,0,0,0
2021-01-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,33.4288327714313,50.37864668366,67.796879955702,86.663554302663,87.0482395220322,153.618853203801,393.968857905495,122.346135655214,0,0,0,0,0,0,0,0,0,0
2021-01-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,33.4288327714313,50.37864668366,67.796879955702,86.663554302663,87.0482395220322,153.618853203801,393.968857905495,122.346135655214,0,0,0,0,0,0,0,0,0,0
2021-01-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,33.4288327714313,50.37864668366,67.796879955702,86.663554302663,87.0482395220322,153.618853203801,393.968857905495,122.346135655214,0,0,0,0,0,0,0,0,0,0
2021-01-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,33.4288327714313,50.37864668366,67.796879955702,86.663554302663,87.0482395220322,153.618853203801,393.968857905495,122.346135655214,0,0,0,0,0,0,0,0,0,0
2021-01-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.75,72.3224368754548,130.974925732375,153.404690457196,198.420557696543,192.025362808562,305.961406161582,809.661437369478,252.97918289881,0,0,0,0,0,0,0,0,0,0
2021-01-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.75,72.3224368754548,130.974925732375,153.404690457196,198.420557696543,192.025362808562,305.961406161582,809.661437369478,252.97918289881,0,0,0,0,0,0,0,0,0,0
2021-01-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.75,72.3224368754548,130.974925732375,153.404690457196,198.420557696543,192.025362808562,305.961406161582,809.661437369478,252.97918289881,0,0,0,0,0,0,0,0,0,0
2021-01-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.75,72.3224368754548,130.974925732375,153.404690457196,198.420557696543,192.025362808562,305.961406161582,809.661437369478,252.97918289881,0,0,0,0,0,0,0,0,0,0
2021-01-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,92.2195153779373,152.64574656202,186.911517366929,232.93261478934,206.684011126299,321.39926630051,869.348517690373,272.358810786595,0,0,0,0,0,0,0,0,0,0
2021-01-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,92.2195153779373,152.64574656202,186.911517366929,232.93261478934,206.684011126299,321.39926630051,869.348517690373,272.358810786595,0,0,0,0,0,0,0,0,0,0
2021-01-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,92.2195153779373,152.64574656202,186.911517366929,232.93261478934,206.684011126299,321.39926630051,869.348517690373,272.358810786595,0,0,0,0,0,0,0,0,0,0
2021-01-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,92.2195153779373,152.64574656202,186.911517366929,232.93261478934,206.684011126299,321.39926630051,869.348517690373,272.358810786595,0,0,0,0,0,0,0,0,0,0
2021-01-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.75,25.490996592132,42.8461130633212,50.7557660491535,66.9552928467908,47.135473251981,98.0218688638785,366.809183835545,118.235305497199,0,0,0,0.175848741651587,0.0741512583484133,0,0,0,0,0
2021-01-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.75,25.490996592132,42.8461130633212,50.7557660491535,66.9552928467908,47.135473251981,98.0218688638785,366.809183835545,118.235305497199,0,0,0,0.175848741651587,0.0741512583484133,0,0,0,0,0
2021-01-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.75,25.490996592132,42.8461130633212,50.7557660491535,66.9552928467908,47.135473251981,98.0218688638785,366.809183835545,118.235305497199,0,0,0,0.175848741651587,0.0741512583484133,0,0,0,0,0
2021-01-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.75,25.490996592132,42.8461130633212,50.7557660491535,66.9552928467908,47.135473251981,98.0218688638785,366.809183835545,118.235305497199,0,0,0,0.175848741651587,0.0741512583484133,0,0,0,0,0
2021-01-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.54281228776772,7.23264996177987,10.5489834083724,13.0425925146781,8.35663525050017,11.2975928706332,49.2964181636055,16.182315542663,0,0,0.174723549529528,0.075276450470472,0,0,0,0,0,0
2021-01-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.54281228776772,7.23264996177987,10.5489834083724,13.0425925146781,8.35663525050017,11.2975928706332,49.2964181636055,16.182315542663,0,0,0.174723549529528,0.075276450470472,0,0,0,0,0,0
