"date","adeno_A_0_9","adeno_A_10_19","adeno_A_20_29","adeno_A_30_39","adeno_A_40_49","adeno_A_50_59","adeno_A_60_69","adeno_A_70_79","adeno_A_80_89","adeno_A_90_99","adeno_B_0_9","adeno_B_10_19","adeno_B_20_29","adeno_B_30_39","adeno_B_40_49","adeno_B_50_59","adeno_B_60_69","adeno_B_70_79","adeno_B_80_89","adeno_B_90_99","rna_A_0_9","rna_A_10_19","rna_A_20_29","rna_A_30_39","rna_A_40_49","rna_A_50_59","rna_A_60_69","rna_A_70_79","rna_A_80_89","rna_A_90_99","rna_B_0_9","rna_B_10_19","rna_B_20_29","rna_B_30_39","rna_B_40_49","rna_B_50_59","rna_B_60_69","rna_B_70_79","rna_B_80_89","rna_B_90_99","rna_E_0_9","rna_E_10_19","rna_E_20_29","rna_E_30_39","rna_E_40_49","rna_E_50_59","rna_E_60_69","rna_E_70_79","rna_E_80_89","rna_E_90_99","rna_F_0_9","rna_F_10_19","rna_F_20_29","rna_F_30_39","rna_F_40_49","rna_F_50_59","rna_F_60_69","rna_F_70_79","rna_F_80_89","rna_F_90_99","rna_X_0_9","rna_X_10_19","rna_X_20_29","rna_X_30_39","rna_X_40_49","rna_X_50_59","rna_X_60_69","rna_X_70_79","rna_X_80_89","rna_X_90_99"
2021-01-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.948894198118112,0.476954543533475,0.941281014381742,1.28354699133187,2.89283971122615,1.68888864092644,0.267594900482197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.948894198118112,0.476954543533475,0.941281014381742,1.28354699133187,2.89283971122615,1.68888864092644,0.267594900482197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-04,0,0,0.87361774764764,0.728079735655535,0.495154419110158,0.873689495478827,0.64281809619232,0.13664050591552,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,2.14778839623622,2.18485027862806,2.22819488599571,1.95011388545128,2.12417027706888,2.07969247565545,1.08943598391605,0.195753817048343,0,0,0,0,0.173425951206666,0.0765740487933343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-04,0,0,0.87361774764764,0.728079735655535,0.495154419110158,0.873689495478827,0.64281809619232,0.13664050591552,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,2.14778839623622,2.18485027862806,2.22819488599571,1.95011388545128,2.12417027706888,2.07969247565545,1.08943598391605,0.195753817048343,0,0,0,0,0.173425951206666,0.0765740487933343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-04,0,0,0.87361774764764,0.728079735655535,0.495154419110158,0.873689495478827,0.64281809619232,0.13664050591552,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,2.14778839623622,2.18485027862806,2.22819488599571,1.95011388545128,2.12417027706888,2.07969247565545,1.08943598391605,0.195753817048343,0,0,0,0,0.173425951206666,0.0765740487933343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-04,0,0,0.87361774764764,0.728079735655535,0.495154419110158,0.873689495478827,0.64281809619232,0.13664050591552,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,2.14778839623622,2.18485027862806,2.22819488599571,1.95011388545128,2.12417027706888,2.07969247565545,1.08943598391605,0.195753817048343,0,0,0,0,0.173425951206666,0.0765740487933343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-05,0,0,1.12361774764764,1.43147470226188,1.31203730612381,1.28354699133187,1.43940173488824,0.409921517746562,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,14.480648467067,24.9644105979107,33.4517038599887,38.6639455444085,46.298521950904,78.2086208870465,156.516483873421,46.915664819253,0,0,0.349447099059055,0.32640164259253,0.0741512583484133,0.180135349473039,0.0698646505269605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-05,0,0,1.12361774764764,1.43147470226188,1.31203730612381,1.28354699133187,1.43940173488824,0.409921517746562,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,14.480648467067,24.9644105979107,33.4517038599887,38.6639455444085,46.298521950904,78.2086208870465,156.516483873421,46.915664819253,0,0,0.349447099059055,0.32640164259253,0.0741512583484133,0.180135349473039,0.0698646505269605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-05,0,0,1.12361774764764,1.43147470226188,1.31203730612381,1.28354699133187,1.43940173488824,0.409921517746562,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,14.480648467067,24.9644105979107,33.4517038599887,38.6639455444085,46.298521950904,78.2086208870465,156.516483873421,46.915664819253,0,0,0.349447099059055,0.32640164259253,0.0741512583484133,0.180135349473039,0.0698646505269605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-05,0,0,1.12361774764764,1.43147470226188,1.31203730612381,1.28354699133187,1.43940173488824,0.409921517746562,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,14.480648467067,24.9644105979107,33.4517038599887,38.6639455444085,46.298521950904,78.2086208870465,156.516483873421,46.915664819253,0,0,0.349447099059055,0.32640164259253,0.0741512583484133,0.180135349473039,0.0698646505269605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-06,0,0,1.02417064858858,0.753375576366177,1.4364354334919,2.15723648681069,1.71886033699608,0.959225342384913,0.200696175361648,0,0,0,0,0,0,0,0,0,0,0,0,3,33.9530034200197,50.780324776723,68.2178831164638,87.1769730991957,87.1879688230863,153.80195447868,394.035756630618,122.346135655214,0,0,0.174723549529528,0.075276450470472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-06,0,0,1.02417064858858,0.753375576366177,1.4364354334919,2.15723648681069,1.71886033699608,0.959225342384913,0.200696175361648,0,0,0,0,0,0,0,0,0,0,0,0,3,33.9530034200197,50.780324776723,68.2178831164638,87.1769730991957,87.1879688230863,153.80195447868,394.035756630618,122.346135655214,0,0,0.174723549529528,0.075276450470472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
