Date,NEW_IN
3 janv. 2021,169
4 janv. 2021,148
5 janv. 2021,194
6 janv. 2021,201
7 janv. 2021,213
8 janv. 2021,165
9 janv. 2021,180
10 janv. 2021,108
11 janv. 2021,128
12 janv. 2021,176
13 janv. 2021,191
14 janv. 2021,172
15 janv. 2021,163
16 janv. 2021,139
17 janv. 2021,103
18 janv. 2021,143
19 janv. 2021,230
20 janv. 2021,186
21 janv. 2021,200
22 janv. 2021,183
23 janv. 2021,182
24 janv. 2021,118
25 janv. 2021,109
26 janv. 2021,207
27 janv. 2021,149
28 janv. 2021,169
29 janv. 2021,152
30 janv. 2021,164
31 janv. 2021,91
1 févr. 2021,147
2 févr. 2021,158
3 févr. 2021,163
4 févr. 2021,158
5 févr. 2021,184
6 févr. 2021,136
7 févr. 2021,114
8 févr. 2021,92
9 févr. 2021,188
10 févr. 2021,171
11 févr. 2021,179
12 févr. 2021,159
13 févr. 2021,136
14 févr. 2021,108
15 févr. 2021,102
16 févr. 2021,192
17 févr. 2021,168
18 févr. 2021,174
19 févr. 2021,154
20 févr. 2021,144
21 févr. 2021,103
22 févr. 2021,148
23 févr. 2021,188
24 févr. 2021,187
25 févr. 2021,165
26 févr. 2021,223
27 févr. 2021,180
28 févr. 2021,145
1 mars 2021,128
2 mars 2021,199
3 mars 2021,179
4 mars 2021,201
5 mars 2021,181
6 mars 2021,160
7 mars 2021,140
8 mars 2021,132
9 mars 2021,239
10 mars 2021,184
11 mars 2021,155
12 mars 2021,200
13 mars 2021,217
14 mars 2021,180
15 mars 2021,168
16 mars 2021,233
17 mars 2021,259
18 mars 2021,231
19 mars 2021,204
20 mars 2021,257
21 mars 2021,200
22 mars 2021,221
23 mars 2021,314
24 mars 2021,289
25 mars 2021,272
26 mars 2021,249
27 mars 2021,320
28 mars 2021,236
29 mars 2021,217
30 mars 2021,366
31 mars 2021,346
1 avr. 2021,316
2 avr. 2021,336
3 avr. 2021,285
4 avr. 2021,188
5 avr. 2021,248
6 avr. 2021,254
7 avr. 2021,381
8 avr. 2021,276
9 avr. 2021,301
10 avr. 2021,280
11 avr. 2021,220
12 avr. 2021,244
13 avr. 2021,294
14 avr. 2021,243
15 avr. 2021,270
16 avr. 2021,285
17 avr. 2021,272
18 avr. 2021,214
19 avr. 2021,224
20 avr. 2021,348
21 avr. 2021,287
22 avr. 2021,260
23 avr. 2021,267
24 avr. 2021,269
25 avr. 2021,184
26 avr. 2021,167
27 avr. 2021,281
28 avr. 2021,231
29 avr. 2021,230
30 avr. 2021,226
1 mai 2021,217
2 mai 2021,172
3 mai 2021,176
4 mai 2021,213
5 mai 2021,178
6 mai 2021,169
7 mai 2021,183
8 mai 2021,186
9 mai 2021,170
10 mai 2021,156
11 mai 2021,185
12 mai 2021,173
13 mai 2021,156
14 mai 2021,116
15 mai 2021,178
16 mai 2021,116
17 mai 2021,114
18 mai 2021,145
19 mai 2021,159
20 mai 2021,138
21 mai 2021,153
22 mai 2021,130
23 mai 2021,92
24 mai 2021,86
25 mai 2021,103
26 mai 2021,124
27 mai 2021,105
28 mai 2021,94
29 mai 2021,107
30 mai 2021,74
31 mai 2021,70
1 juin 2021,111
2 juin 2021,104
3 juin 2021,85
4 juin 2021,82
5 juin 2021,85
6 juin 2021,58
7 juin 2021,54
8 juin 2021,81
9 juin 2021,79
10 juin 2021,55
11 juin 2021,50
12 juin 2021,52
13 juin 2021,29
14 juin 2021,50
15 juin 2021,51
16 juin 2021,35
17 juin 2021,46
18 juin 2021,37
19 juin 2021,38
20 juin 2021,30
21 juin 2021,34
22 juin 2021,34
23 juin 2021,38
24 juin 2021,38
25 juin 2021,20
26 juin 2021,27
27 juin 2021,15
28 juin 2021,18
29 juin 2021,28
30 juin 2021,23
1 juil. 2021,8
2 juil. 2021,30
3 juil. 2021,45
4 juil. 2021,17
5 juil. 2021,14
6 juil. 2021,30
7 juil. 2021,32
8 juil. 2021,15
9 juil. 2021,25
10 juil. 2021,21
11 juil. 2021,20
12 juil. 2021,19
13 juil. 2021,32
14 juil. 2021,28
15 juil. 2021,34
16 juil. 2021,35
17 juil. 2021,33
18 juil. 2021,26
19 juil. 2021,29
20 juil. 2021,38
21 juil. 2021,37
22 juil. 2021,32
23 juil. 2021,33
24 juil. 2021,43
25 juil. 2021,30
26 juil. 2021,32
27 juil. 2021,46
28 juil. 2021,56
29 juil. 2021,49
30 juil. 2021,39
31 juil. 2021,48
1 août 2021,41
2 août 2021,50
3 août 2021,54
4 août 2021,52
5 août 2021,51
6 août 2021,59
7 août 2021,62
8 août 2021,52
9 août 2021,56
10 août 2021,84
11 août 2021,53
12 août 2021,85
13 août 2021,74
14 août 2021,62
15 août 2021,58
16 août 2021,53
17 août 2021,102
18 août 2021,80
19 août 2021,78
20 août 2021,67
21 août 2021,75
22 août 2021,51
23 août 2021,74
24 août 2021,88
25 août 2021,68
26 août 2021,73
27 août 2021,71
28 août 2021,80
29 août 2021,53
30 août 2021,69
31 août 2021,99
1 sept. 2021,94
2 sept. 2021,85
3 sept. 2021,86
4 sept. 2021,90
5 sept. 2021,62
6 sept. 2021,79
7 sept. 2021,99
8 sept. 2021,83
9 sept. 2021,85
10 sept. 2021,73
11 sept. 2021,55
12 sept. 2021,46
13 sept. 2021,74
14 sept. 2021,102
15 sept. 2021,79
16 sept. 2021,101
17 sept. 2021,81
18 sept. 2021,68
19 sept. 2021,53
20 sept. 2021,58
21 sept. 2021,76
22 sept. 2021,86
23 sept. 2021,80
24 sept. 2021,45
25 sept. 2021,63
26 sept. 2021,50
27 sept. 2021,68
28 sept. 2021,89
29 sept. 2021,84
30 sept. 2021,83
1 oct. 2021,78
2 oct. 2021,75
3 oct. 2021,49
4 oct. 2021,62
5 oct. 2021,99
6 oct. 2021,86
7 oct. 2021,73
8 oct. 2021,77
9 oct. 2021,66
10 oct. 2021,54
11 oct. 2021,67
12 oct. 2021,105
13 oct. 2021,97
14 oct. 2021,100
15 oct. 2021,94
16 oct. 2021,116
17 oct. 2021,71
18 oct. 2021,105
19 oct. 2021,137
20 oct. 2021,164
21 oct. 2021,147
22 oct. 2021,165
23 oct. 2021,152
24 oct. 2021,115
25 oct. 2021,166
26 oct. 2021,189
27 oct. 2021,202
28 oct. 2021,203
29 oct. 2021,228
30 oct. 2021,228
31 oct. 2021,136
1 nov. 2021,141
2 nov. 2021,211
3 nov. 2021,276
4 nov. 2021,240
5 nov. 2021,234
6 nov. 2021,216
7 nov. 2021,174
8 nov. 2021,208
9 nov. 2021,306
10 nov. 2021,375
11 nov. 2021,291
12 nov. 2021,229
13 nov. 2021,327
14 nov. 2021,239
15 nov. 2021,255
16 nov. 2021,379
17 nov. 2021,406
18 nov. 2021,386
19 nov. 2021,375
20 nov. 2021,357
21 nov. 2021,301
22 nov. 2021,296
23 nov. 2021,452
24 nov. 2021,430
25 nov. 2021,436
26 nov. 2021,390
27 nov. 2021,389
28 nov. 2021,299
29 nov. 2021,319
30 nov. 2021,480
1 déc. 2021,430
2 déc. 2021,363
3 déc. 2021,373
4 déc. 2021,397
5 déc. 2021,260
6 déc. 2021,267
7 déc. 2021,380
8 déc. 2021,369
9 déc. 2021,351
10 déc. 2021,350
11 déc. 2021,320
12 déc. 2021,242
13 déc. 2021,233
14 déc. 2021,357
15 déc. 2021,278
16 déc. 2021,225
17 déc. 2021,237
18 déc. 2021,220
19 déc. 2021,154
20 déc. 2021,168
21 déc. 2021,208
22 déc. 2021,209
23 déc. 2021,187
24 déc. 2021,163
25 déc. 2021,172
26 déc. 2021,138
27 déc. 2021,142
28 déc. 2021,243
29 déc. 2021,207
30 déc. 2021,219
31 déc. 2021,205
1 janv. 2022,181
2 janv. 2022,183
3 janv. 2022,196
4 janv. 2022,291
5 janv. 2022,267
6 janv. 2022,264
7 janv. 2022,248
8 janv. 2022,261
9 janv. 2022,199
10 janv. 2022,202
11 janv. 2022,326
12 janv. 2022,331
13 janv. 2022,324
14 janv. 2022,354
15 janv. 2022,398
16 janv. 2022,255
17 janv. 2022,311
18 janv. 2022,504
19 janv. 2022,508
20 janv. 2022,577
21 janv. 2022,541
22 janv. 2022,517
23 janv. 2022,426
24 janv. 2022,470
25 janv. 2022,679
26 janv. 2022,661
27 janv. 2022,708
28 janv. 2022,688
29 janv. 2022,593
30 janv. 2022,428
31 janv. 2022,528
1 févr. 2022,745
2 févr. 2022,688
3 févr. 2022,674
4 févr. 2022,608
